"","stars","review_count","BikeParking","BusinessParking","HasTV","NoiseLevel","review_count.1","hours.time"
"849",4.5,75,TRUE,"YES",FALSE,"average",75,85.5
"851",4,48,TRUE,"YES",TRUE,"average",48,54
"852",3.5,26,TRUE,"YES",TRUE,"average",26,39
"853",4,557,TRUE,"YES",TRUE,"average",557,93
"854",4,153,TRUE,"YES",TRUE,"average",153,73
"858",3,21,TRUE,"YES",FALSE,"average",21,80
"859",4,56,TRUE,"YES",TRUE,"average",56,23
"860",4,96,TRUE,"YES",TRUE,"loud",96,88
"861",3,220,FALSE,"YES",TRUE,"average",220,43
"862",3,5,FALSE,"NO",TRUE,"loud",5,30
"864",3.5,299,TRUE,"YES",TRUE,"average",299,71
"865",3,33,TRUE,"YES",FALSE,"quiet",33,70
"868",4.5,171,TRUE,"YES",FALSE,"average",171,63
"871",3,11,TRUE,"NO",TRUE,"loud",11,105
"873",4,88,TRUE,"YES",TRUE,"average",88,38
"874",2.5,3,TRUE,"YES",TRUE,"average",3,67
"875",4,35,TRUE,"YES",TRUE,"quiet",35,111
"876",2.5,67,TRUE,"NO",TRUE,"average",67,87
"877",3,91,FALSE,"YES",TRUE,"average",91,90
"879",3,50,FALSE,"YES",TRUE,"loud",50,103
"880",4,12,FALSE,"NO",TRUE,"average",12,100
"881",4,78,TRUE,"YES",TRUE,"average",78,106
"882",3,76,TRUE,"YES",TRUE,"average",76,105
"883",3.5,79,TRUE,"YES",TRUE,"average",79,62
"884",3,29,TRUE,"NO",TRUE,"average",29,58.5
"886",3.5,152,TRUE,"YES",TRUE,"average",152,109
"887",4,167,TRUE,"YES",TRUE,"average",167,61
"891",3.5,83,TRUE,"YES",TRUE,"average",83,67.5
"893",3.5,53,TRUE,"YES",TRUE,"average",53,92.5
"894",3.5,174,FALSE,"YES",TRUE,"average",174,79
"895",4,7,FALSE,"YES",TRUE,"average",7,118
"896",4,80,TRUE,"YES",TRUE,"average",80,83
"900",4.5,76,FALSE,"YES",FALSE,"average",76,34
"901",2.5,18,TRUE,"YES",TRUE,"very_loud",18,30
"904",4,11,TRUE,"YES",TRUE,"average",11,52
"906",4.5,676,TRUE,"YES",TRUE,"average",676,94.5
"907",4,1372,TRUE,"YES",TRUE,"loud",1372,109
"911",3.5,140,TRUE,"YES",TRUE,"loud",140,92
"913",4,18,FALSE,"YES",TRUE,"average",18,73
"914",4,71,TRUE,"YES",TRUE,"average",71,64
"916",4,123,TRUE,"YES",TRUE,"average",123,65
"918",4.5,14,FALSE,"NO",TRUE,"average",14,64
