"","V1","V2"
"1004","'full_bar'",NA
"1005","u'none'",NA
"1006","'full_bar'",NA
"1007","'full_bar'","full_bar"
"1008","'none'","none"
"1009","u'full_bar'","full_bar"
"1010","'full_bar'",NA
"1011","u'full_bar'","full_bar"
"1012","u'full_bar'",NA
"1013","u'full_bar'","full_bar"
"1014",NA,NA
"1015",NA,NA
"1016",NA,NA
"1017","u'full_bar'","full_bar"
"1018",NA,NA
"1019","u'full_bar'","full_bar"
"1020","u'full_bar'",NA
"1021","u'full_bar'","full_bar"
"1022","u'full_bar'",NA
"1023","'full_bar'","full_bar"
"1024","'full_bar'",NA
"1025","u'full_bar'","full_bar"
"1026",NA,NA
"1027","u'full_bar'","full_bar"
"1028",NA,NA
